freq,indic_de,unit,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,ABORTRT,RT,AL	: 	6.1 	6.2 	: 	1.1 	1.3 	1.0 	1.2 	: 
A,ABORTRT,RT,AM	: 	: 	11.3 	10.8 	10.5 	11.1 	11.7 	12.8 	: 
A,ABORTRT,RT,AZ	8.4 	8.2 	8.3 	10.5 	10.5 	11.0 	11.4 	11.8 	: 
A,ABORTRT,RT,BG	14.6 	14.1 	14.1 	13.6 	12.7 	12.4 	11.6 	11.9 	: 
A,ABORTRT,RT,BY	10.5 	10.2 	10.1 	9.6 	9.0 	8.4 	: 	: 	: 
A,ABORTRT,RT,CH	4.2 	4.1 	4.1 	4.1 	4.0 	4.2 	3.7 	5.1 	: 
A,ABORTRT,RT,CZ	7.6 	7.3 	6.8 	6.9 	6.5 	6.2 	6.0 	6.4 	6.1 
A,ABORTRT,RT,DE	: 	4.4 	4.4 	4.4 	4.5 	4.5 	4.6 	5.4 	: 
A,ABORTRT,RT,DE_TOT	4.5 	4.4 	4.4 	4.4 	4.5 	4.5 	4.6 	5.4 	: 
A,ABORTRT,RT,DK	9.3 	9.3 	: 	: 	: 	: 	: 	: 	: 
A,ABORTRT,RT,EE	15.4 	13.9 	13.3 	12.2 	11.0 	10.5 	10.3 	: 	: 
A,ABORTRT,RT,ES	7.9 	6.9 	6.9 	: 	7.0 	7.1 	7.3 	7.5 	7.7 
A,ABORTRT,RT,FI	6.8 	6.6 	6.4 	6.4 	6.3 	5.9 	5.9 	6.5 	: 
A,ABORTRT,RT,GE	: 	: 	29.3 	27.0 	23.0 	21.3 	20.4 	20.4 	: 
A,ABORTRT,RT,HR	2.6 	2.5 	2.5 	2.2 	2.1 	2.3 	2.5 	2.7 	: 
A,ABORTRT,RT,HU	12.2 	11.5 	11.0 	10.8 	10.2 	9.7 	9.3 	9.8 	: 
A,ABORTRT,RT,IS	: 	: 	: 	: 	10.3 	10.1 	: 	: 	0.0 
A,ABORTRT,RT,IT	5.9 	5.6 	: 	5.0 	4.8 	4.6 	: 	4.9 	4.8 
A,ABORTRT,RT,LT	6.0 	6.0 	5.6 	5.5 	5.4 	4.7 	4.2 	4.3 	4.2 
A,ABORTRT,RT,LV	9.5 	9.3 	8.6 	8.0 	7.3 	6.9 	6.5 	6.4 	6.1 
A,ABORTRT,RT,ME	: 	5.0 	5.2 	4.1 	3.5 	: 	: 	: 	: 
A,ABORTRT,RT,PL	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	: 	: 
A,ABORTRT,RT,PT	: 	5.5 	5.5 	5.3 	5.2 	5.1 	5.2 	5.6 	5.7 
A,ABORTRT,RT,RO	14.9 	13.6 	12.4 	11.3 	10.1 	9.4 	8.6 	6.7 	: 
A,ABORTRT,RT,RS	: 	: 	: 	: 	5.3 	5.2 	5.2 	4.8 	5.2 
A,ABORTRT,RT,SI	6.9 	: 	6.4 	6.6 	6.3 	6.3 	5.9 	6.1 	: 
A,ABORTRT,RT,SK	6.6 	6.4 	6.1 	5.8 	5.6 	5.6 	4.2 	4.4 	: 
A,ABORTRT,RT,UA	: 	8.6 	: 	: 	7.5 	7.0 	6.4 	6.0 	: 
A,ABORTRT,RT,UK	: 	: 	10.4 	10.4 	: 	: 	: 	: 	: 
